Entity,Year,Market Income,Disposable_Income,RoundYear,Percent_GDP,MoreThanMean
Australia,1981,0.405,0.282,1981.0,10.6378896,0
Australia,1985,0.44,0.293,1985.0,10.29641421,0
Australia,1989,0.44,0.304,1989.0,10.268,0
Australia,1995,0.483,0.311,1995.0,12.088,0
Australia,2001,0.498,0.32,2001.0,13.131,0
Australia,2003,0.48700000000000004,0.316,2003.0,16.871,0
Australia,2008,0.491,0.336,2008.0,18.242,0
Australia,2010,0.49200000000000005,0.33399999999999996,2010.0,16.681,0
Austria,1994,0.447,0.282,1994.0,22.12682645,1
Austria,1997,0.43700000000000006,0.267,1997.0,22.07379021,1
Austria,2000,0.433,0.258,2000.0,21.959,1
Austria,2004,0.465,0.26899999999999996,2004.0,23.261,1
Belgium,1985,0.42,0.228,1985.0,22.81756082,1
Belgium,1988,0.429,0.23399999999999999,1988.0,23.00717358,1
Belgium,1992,0.45899999999999996,0.22899999999999998,1992.0,23.079,1
Belgium,1995,0.47600000000000003,0.26899999999999996,1995.0,25.552,1
Belgium,1997,0.486,0.251,1997.0,24.417,1
Belgium,2000,0.517,0.318,2000.0,25.169,1
Canada,1981,0.384,0.28600000000000003,1981.0,13.39408899,0
Canada,1987,0.408,0.28300000000000003,1987.0,12.90118654,0
Canada,1991,0.429,0.282,1991.0,13.306,0
Canada,1994,0.451,0.285,1994.0,16.418,0
Canada,1997,0.452,0.292,1997.0,17.546,0
Canada,1998,0.484,0.313,1998.0,18.354,0
Canada,2000,0.47600000000000003,0.318,2000.0,15.763,0
Canada,2004,0.483,0.32,2004.0,16.138,0
Canada,2007,0.48100000000000004,0.318,2007.0,16.878,0
Canada,2010,0.489,0.318,2010.0,17.547,0
Czech Republic,1992,0.402,0.20600000000000002,1992.0,14.169,0
Czech Republic,1996,0.434,0.257,1996.0,16.129,0
Czech Republic,2002,0.475,0.255,2002.0,17.962,0
Czech Republic,2004,0.479,0.267,2004.0,18.112,0
Czech Republic,2007,0.45799999999999996,0.252,2007.0,20.261,1
Czech Republic,2010,0.45899999999999996,0.256,2010.0,19.766,1
Denmark,1987,0.419,0.257,1987.0,19.23045696,1
Denmark,1992,0.452,0.24100000000000002,1992.0,19.7745319,1
Denmark,1995,0.45299999999999996,0.222,1995.0,20.334,1
Denmark,2000,0.444,0.226,2000.0,19.294,1
Denmark,2004,0.45399999999999996,0.23,2004.0,21.973,1
Denmark,2007,0.449,0.242,2007.0,25.513,1
Denmark,2010,0.48,0.254,2010.0,23.765,1
Estonia,2004,0.508,0.35,2004.0,12.97,0
Estonia,2007,0.456,0.316,2007.0,15.871,0
Estonia,2010,0.495,0.326,2010.0,18.321,0
Finland,1987,0.39,0.207,1987.0,18.74081587,0
Finland,1991,0.409,0.209,1991.0,17.82869989,0
Finland,1995,0.483,0.217,1995.0,17.742,0
Finland,2000,0.48100000000000004,0.256,2000.0,21.663,1
Finland,2004,0.488,0.266,2004.0,23.318,1
Finland,2007,0.47700000000000004,0.267,2007.0,28.902,1
Finland,2010,0.48700000000000004,0.264,2010.0,22.648,1
France,1978,0.45,0.319,1978.0,19.45212529,1
France,1984,0.518,0.348,1984.0,19.72334639,1
France,1989,0.489,0.293,1989.0,20.232,1
France,1994,0.495,0.29,1994.0,25.245,1
France,2000,0.491,0.278,2000.0,24.28,1
France,2005,0.486,0.281,2005.0,28.332,1
France,2010,0.511,0.292,2010.0,27.495,1
Germany,1984,0.45,0.266,1984.0,22.02451057,1
Germany,1989,0.445,0.259,1989.0,21.58779659,1
Germany,1994,0.465,0.27,1994.0,21.788,1
Germany,2000,0.479,0.267,2000.0,22.228,1
Germany,2004,0.511,0.28800000000000003,2004.0,21.354,1
Germany,2007,0.523,0.294,2007.0,25.225,1
Germany,2010,0.523,0.289,2010.0,25.405,1
Greece,1995,0.47700000000000004,0.355,1995.0,9.495982219,0
Greece,2000,0.467,0.335,2000.0,9.30247371,0
Greece,2004,0.47200000000000003,0.32899999999999996,2004.0,9.856,0
Greece,2007,0.496,0.322,2007.0,15.368,0
Greece,2010,0.532,0.33799999999999997,2010.0,15.721,0
Hungary,1991,0.478,0.289,1991.0,20.604,1
Hungary,1994,0.5539999999999999,0.322,1994.0,20.672,1
Hungary,1999,0.518,0.292,1999.0,20.113,1
Hungary,2005,0.5379999999999999,0.29100000000000004,2005.0,21.857,1
Hungary,2007,0.611,0.27699999999999997,2007.0,21.373,1
Hungary,2009,0.618,0.27899999999999997,2009.0,23.038,1
Hungary,2012,0.624,0.293,2012.0,22.108,1
Iceland,2004,0.377,0.257,2004.0,13.186,0
Iceland,2007,0.385,0.28,2007.0,14.71,0
Iceland,2010,0.405,0.24600000000000002,2010.0,14.631,0
Ireland,1994,0.511,0.33899999999999997,1994.0,13.79136835,0
Ireland,1995,0.505,0.345,1995.0,15.657,0
Ireland,1996,0.496,0.33399999999999996,1996.0,20.369,1
Ireland,2000,0.445,0.314,2000.0,16.839,0
Ireland,2004,0.513,0.325,2004.0,17.543,0
Ireland,2007,0.514,0.303,2007.0,12.567,0
Ireland,2010,0.578,0.29600000000000004,2010.0,14.879,0
Israel,1986,0.48700000000000004,0.31,1986.0,16.046,0
Israel,1992,0.48,0.305,1992.0,16.241,0
Israel,1997,0.507,0.337,1997.0,17.006,0
Israel,2001,0.55,0.35,2001.0,17.005,0
Israel,2005,0.537,0.377,2005.0,16.3,0
Israel,2007,0.525,0.369,2007.0,16.116,0
Israel,2010,0.5329999999999999,0.387,2010.0,16.035,0
Italy,1986,0.43,0.31,1986.0,18.00924475,0
Italy,1987,0.457,0.33399999999999996,1987.0,17.3667989,0
Italy,1989,0.431,0.304,1989.0,17.379,0
Italy,1991,0.42,0.292,1991.0,20.113,1
Italy,1993,0.478,0.34299999999999997,1993.0,20.652,1
Italy,1995,0.48200000000000004,0.34299999999999997,1995.0,20.957,1
Italy,1998,0.496,0.35600000000000004,1998.0,28.972,1
Italy,2000,0.488,0.342,2000.0,22.637,1
Italy,2004,0.517,0.34700000000000003,2004.0,24.095,1
Italy,2008,0.48700000000000004,0.332,2008.0,28.619,1
Italy,2010,0.501,0.331,2010.0,27.629,1
Luxembourg,1985,0.379,0.23800000000000002,1985.0,19.222,1
Luxembourg,1991,0.374,0.239,1991.0,18.729,0
Luxembourg,1994,0.391,0.235,1994.0,18.147,0
Luxembourg,1997,0.436,0.261,1997.0,19.685,1
Luxembourg,2000,0.43200000000000005,0.262,2000.0,18.601,0
Luxembourg,2004,0.45799999999999996,0.27,2004.0,22.392,1
Luxembourg,2007,0.46299999999999997,0.27699999999999997,2007.0,23.233,1
Luxembourg,2010,0.46799999999999997,0.26899999999999996,2010.0,22.91,1
Netherlands,1993,0.46799999999999997,0.262,1993.0,21.83820323,1
Netherlands,1999,0.43200000000000005,0.23199999999999998,1999.0,22.5536143,1
Netherlands,2004,0.469,0.267,2004.0,23.261,1
Netherlands,2007,0.48,0.27699999999999997,2007.0,23.78,1
Netherlands,2010,0.469,0.257,2010.0,23.989,1
Norway,1979,0.38,0.226,1979.0,16.71197679,0
Norway,1986,0.366,0.235,1986.0,16.92743664,0
Norway,1991,0.397,0.233,1991.0,16.121,0
Norway,1995,0.431,0.243,1995.0,17.198,0
Norway,2000,0.44299999999999995,0.261,2000.0,21.55,1
Norway,2004,0.479,0.28300000000000003,2004.0,22.474,1
Norway,2007,0.445,0.247,2007.0,20.402,1
Norway,2010,0.457,0.251,2010.0,20.749,1
Poland,1992,0.42200000000000004,0.262,1992.0,14.592,0
Poland,1995,0.569,0.324,1995.0,21.832,1
Poland,2007,0.516,0.316,2007.0,19.57,1
Poland,2010,0.499,0.314,2010.0,20.632,1
Slovakia,1992,0.40399999999999997,0.18899999999999997,1992.0,18.103,0
Slovakia,2004,0.455,0.26899999999999996,2004.0,17.55,0
Slovakia,2007,0.419,0.248,2007.0,15.834,0
Slovakia,2010,0.435,0.265,2010.0,18.051,0
Slovenia,1997,0.369,0.22899999999999998,1997.0,5.702,0
Slovenia,1999,0.375,0.23199999999999998,1999.0,22.372,1
Slovenia,2004,0.39899999999999997,0.231,2004.0,21.441,1
Slovenia,2007,0.39899999999999997,0.23,2007.0,23.978,1
Slovenia,2010,0.419,0.253,2010.0,23.397,1
Spain,1980,0.42,0.321,1980.0,14.984,0
Spain,1990,0.43,0.305,1990.0,19.196,0
Spain,1995,0.513,0.358,1995.0,20.687,1
Spain,2000,0.48200000000000004,0.337,2000.0,19.481,1
Spain,2004,0.455,0.322,2004.0,20.407,1
Spain,2007,0.451,0.309,2007.0,26.28,1
Spain,2010,0.513,0.33899999999999997,2010.0,25.839,1
Sweden,1981,0.413,0.198,1981.0,24.13642272,1
Sweden,1987,0.43700000000000006,0.213,1987.0,24.08259006,1
Sweden,1992,0.46799999999999997,0.22899999999999998,1992.0,24.847,1
Sweden,1995,0.5,0.222,1995.0,26.967,1
Sweden,2000,0.485,0.257,2000.0,27.237,1
Sweden,2005,0.47700000000000004,0.239,2005.0,30.561,1
United Kingdom,1979,0.418,0.267,1979.0,15.62650275,0
United Kingdom,1986,0.509,0.304,1986.0,15.5457689,0
United Kingdom,1991,0.512,0.34,1991.0,15.587,0
United Kingdom,1994,0.547,0.344,1994.0,18.181,0
United Kingdom,1995,0.547,0.34600000000000003,1995.0,15.244,0
United Kingdom,1999,0.546,0.353,1999.0,18.333,0
United Kingdom,2004,0.545,0.354,2004.0,17.706,0
United Kingdom,2007,0.547,0.34299999999999997,2007.0,19.408,1
United Kingdom,2010,0.5660000000000001,0.341,2010.0,22.785,1
United States,1979,0.433,0.311,1979.0,11.6358021,0
United States,1986,0.46399999999999997,0.342,1986.0,11.78846715,0
United States,1991,0.474,0.34700000000000003,1991.0,12.836,0
United States,1994,0.505,0.37200000000000005,1994.0,12.837,0
United States,1997,0.502,0.374,1997.0,13.167,0
United States,2000,0.498,0.37200000000000005,2000.0,15.057,0
United States,2004,0.508,0.377,2004.0,14.25,0
United States,2007,0.5,0.38299999999999995,2007.0,15.649,0
United States,2010,0.525,0.373,2010.0,19.346,1
United States,2013,0.529,0.38299999999999995,2013.0,18.816,0
